keys,en,fr,zh,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
FANTASY_GOBLIN_PRIEST_BEHAVIOUR_DESCRIPTION,"Runs away from the character, Heals enemies around it for 50(increasing by 5 each wave), Buffs other enemies' health by 75%, damage by 12%, and speed by 25%.Buffed enemies are outlined in red.","Fuit le personnage, soigne les ennemis alentour de 50 (augmente de 5 par vague), améliore les PV des autres ennemis de 75%, leurs dégâts de 12% et leur vitesse de 25%. Les ennemis améliorés sont cerclés de rouge.","逃离角色, 治疗周围的敌人50生命(每波敌袭增加5), 强化其他敌人生命值75%,伤害12%,速度25%,被强化的敌人会有红色轮廓","キャラクターから逃げ出し,周囲の敵のHPを50回復する(波ごとに5増加).他の敵のHPを75%,ダメージを12%,速度を25%強化する.強化された敵は赤く縁取られる.","캐릭터로부터 도망가며, 주변 적의 체력을 50 회복합니다(웨이브마다 5 증가). 다른 적의 체력을 75%, 피해를 12%, 속도를 25% 강화합니다. 강화된 적은 붉은 윤곽선으로 표시됩니다.","逃離角色,治療周圍的敵人50生命(每波敵襲增加5),強化其他敵人生命值75%,傷害12%,速度25%,被強化的敵人會有紅色輪廓","Убегает от персонажа, лечит окружающих врагов на 50 (увеличивается на 5 за волну), усиливает других врагов: здоровье на 75%, урон на 12%, скорость на 25%. Усиленные враги обведены красным.","Ucieka od postaci, leczy wrogów wokół o 50 (zwiększa się o 5 co falę), wzmacnia innych wrogów: zdrowie o 75%, obrażenia o 12%, prędkość o 25%. Wzmocnieni wrogowie są obrysowani na czerwono.","Huye del personaje, cura 50 de vida a los enemigos alrededor (aumenta en 5 por oleada), mejora la salud de otros enemigos en un 75%, el daño en un 12% y la velocidad en un 25%. Los enemigos mejorados se perfilan en rojo.","Foge do personagem, cura 50 de vida dos inimigos ao redor (aumentando em 5 a cada onda), fortalece a saúde de outros inimigos em 75%, dano em 12% e velocidade em 25%. Inimigos fortalecidos são contornados em vermelho.","Läuft vor dem Charakter weg, heilt umstehende Gegner um 50 (steigt jede Welle um 5), verstärkt die LP anderer Gegner um 75%, Schaden um 12% und Tempo um 25%. Verstärkte Gegner sind rot umrandet.","Karakterden kaçar, etrafındaki düşmanları 50 iyileştirir (her dalgada 5 artar), diğer düşmanların canını %75, hasarını %12 ve hızını %25 artırır. Güçlendirilmiş düşmanlar kırmızıyla belirtilir.","Scappa dal personaggio, cura i nemici circostanti di 50 (aumenta di 5 a ogni ondata), potenzia la salute degli altri nemici del 75%, i danni del 12% e la velocità del 25%. I nemici potenziati sono contornati di rosso."
FANTASY_TREE_SPIRIT_NAME,Tree Spirit,Esprit arbre,树妖,ツリースピリット,나무령,樹妖,Древесный дух,Duch drzewa,Espíritu arbóreo,Espírito árvore,Baumgeist,Ağaç Ruhu,Spirito dell'albero
FANTASY_TREE_SPIRIT_BEHAVIOUR_DESCRIPTION,"Cannot move, will be attacked by lootworm, fires a winding bullet cluster consisting of 24 bullets toward the player.","Ne peut pas se déplacer, sera attaqué par le ver pillard, tire un groupe de projectiles sinueux composé de 24 balles vers le joueur.","无法移动, 会被搜刮虫虫攻击, 朝玩家方向发射一个由24个子弹构成的蜿蜒子弹群","移動できず,ルートワームに攻撃される.24発の弾からなる蛇行する弾幕をプレイヤーに向けて発射する.","이동할 수 없으며, 약탈벌레에게 공격받습니다. 24개의 탄환으로 구성된 구불구불한 탄막을 플레이어를 향해 발사합니다.","無法移動,會被搜刮蟲蟲攻擊,朝玩家方向發射一個由24個子彈構成的蜿蜒子彈群","Не может двигаться, будет атакован червем-грабителем, стреляет извивающимся сгустком из 24 пуль в сторону игрока.","Nie może się poruszać, zostanie zaatakowany przez łupieżczego robaka, wystrzeliwuje w kierunku gracza wijącą się grupę 24 pocisków.","No puede moverse, será atacado por el gusano saqueador, dispara un grupo de proyectiles serpenteante de 24 balas hacia el jugador.","Não pode se mover, será atacado pelo verme saqueador, dispara um aglomerado sinuoso de 24 projéteis na direção do jogador.","Kann sich nicht bewegen, wird vom Plünderwurm angegriffen, feuert ein sich schlängelndes Geschossbündel aus 24 Kugeln auf den Spieler.","Hareket edemez, yağmacı kurt tarafından saldırıya uğrar, oyuncuya doğru 24 mermiden oluşan kıvrımlı bir mermi kümesi ateşler.","Non può muoversi, verrà attaccato dal verme saccheggiatore, spara un gruppo sinuoso di 24 proiettili verso il giocatore."
FANTASY_SKELETON_SWORDSMAN_NAME,Skeleton Swordsman,Épéiste squelette,骷髅剑士,スケルトンソードマン,해골 검사,骷髏劍士,Скелет-мечник,Szkielet szermierz,Esqueleto espadachín,Esqueleto espadachim,Skelett-Schwertkämpfer,İskelet Kılıç Ustası,Guerriero scheletro con spada
FANTASY_SKELETON_SWORDSMAN_BEHAVIOUR_DESCRIPTION,"Chases the player, briefly pauses before attacking, and attempts to slash nearby players once per second.","Poursuit le joueur, marque une brève pause avant d'attaquer, et tente de tailler les joueurs proches une fois par seconde.","追击玩家, 每秒试图挥砍周围的玩家, 攻击前会短暂静止","プレイヤーを追跡し,攻撃前に短く停止し,近くのプレイヤーを毎秒1回斬りつけようとする.","플레이어를 쫓아가며, 공격 전 잠시 멈추고, 근처 플레이어를 1초에 한 번 베려고 시도합니다.","追擊玩家,每秒試圖揮砍周圍的玩家,攻擊前會短暫靜止","Преследует игрока, ненадолго останавливается перед атакой, пытается рубить ближайших игроков раз в секунду.","Goni gracza, robi krótką pauzę przed atakiem i próbuje ciąć pobliskich graczy raz na sekundę.","Persigue al jugador, hace una breve pausa antes de atacar e intenta acuchillar a los jugadores cercanos una vez por segundo.","Persegue o jogador, faz uma breve pausa antes de atacar e tenta golpear jogadores próximos uma vez por segundo.","Verfolgt den Spieler, pausiert kurz vor dem Angriff und versucht, nahe Spieler einmal pro Sekunde zu schlitzen.","Oyuncuyu kovalar, saldırmadan önce kısa süre durur ve yakındaki oyuncuları saniyede bir kez kesmeye çalışır.","Insegue il giocatore, fa una breve pausa prima di attaccare e tenta di colpire con un fendente i giocatori vicini una volta al secondo."
FANTASY_SKELETON_ARCHER_NAME,Skeleton Archer,Archer squelette,骷髅弓手,スケルトンアーチャー,해골 궁수,骷髏弓手,Скелет-лучник,Szkielet łucznik,Esqueleto arquero,Esqueleto arqueiro,Skelett-Bogenschütze,İskelet Okçu,Arciere scheletro
FANTASY_SKELETON_ARCHER_BEHAVIOUR_DESCRIPTION,"Chases the player and fires an arrow toward them. This arrow summons smaller arrows on both perpendicular sides, which automatically disappear.","Poursuit le joueur et lui tire une flèche. Cette flèche fait apparaître de plus petites flèches sur ses deux côtés perpendiculaires, qui disparaissent automatiquement.","追击玩家, 朝玩家发射箭矢, 该箭矢可在两侧垂直方向召唤自动消失的小箭矢","プレイヤーを追跡し,矢を放つ.この矢は両側の垂直方向に小さな矢を召喚し,それらは自動的に消える.","플레이어를 쫓아가며 화살을 발사합니다. 이 화살은 양쪽 수직 방향으로 작은 화살을 소환하며, 이는 자동으로 사라집니다.","追擊玩家,朝玩家發射箭矢,該箭矢可在兩側垂直方向召喚自動消失的小箭矢","Преследует игрока и стреляет в него стрелой. Эта стрела вызывает маленькие стрелы по обеим перпендикулярным сторонам, которые автоматически исчезают.","Goni gracza i wystrzeliwuje w niego strzałę. Ta strzała przywołuje mniejsze strzały po obu prostopadłych bokach, które automatycznie znikają.","Persigue al jugador y le dispara una flecha. Esta flecha invoca flechas más pequeñas en ambos lados perpendiculares, que desaparecen automáticamente.","Persegue o jogador e dispara uma flecha contra ele. Esta flecha invoca flechas menores em ambos os lados perpendiculares, que desaparecem automaticamente.","Verfolgt den Spieler und feuert einen Pfeil auf ihn. Dieser Pfeil ruft auf beiden senkrechten Seiten kleinere Pfeile hervor, die automatisch verschwinden.","Oyuncuyu kovalar ve ona ok atar. Bu ok, dik açılarla her iki yanda kendiliğinden kaybolan daha küçük oklar çağırır.","Insegue il giocatore e gli scocca una freccia. Questa freccia evoca frecce più piccole su entrambi i lati perpendicolari, che scompaiono automaticamente."
FANTASY_MAPLE_WOLF_NAME,Maple Wolf,Loup érable,枫狼,メイプルウルフ,단풍 늑대,楓狼,Кленовый волк,Klonowy wilk,Lobo arce,Lobo de bordo,Ahornwolf,Akçaağaç Kurdu,Lupo d'acero
FANTASY_MAPLE_WOLF_BEHAVIOUR_DESCRIPTION,"Maintain a certain distance while chasing the player, dash toward any player within range, and fire a maple-leaf-shaped bullet cluster consisting of six bullets.","Garde une certaine distance en poursuivant le joueur, fonce vers tout joueur à portée, et tire un groupe de balles en forme de feuille d'érable composé de six projectiles.","保持一定距离追击玩家, 冲向范围内玩家, 并产生由6个刀光构成的枫叶状刀光群","プレイヤーを追跡中は一定の距離を保ち,範囲内のプレイヤーにダッシュし,6つの弾で構成されるカエデの葉形の弾幕を発射する.","플레이어를 추적하는 동안 일정 거리를 유지하며, 범위 내 플레이어에게 돌진하고, 6개의 탄환으로 구성된 단풍잎 모양의 탄막을 발사합니다.","保持一定距離追擊玩家,衝向範圍內玩家,並產生由6個刀光構成的楓葉狀刀光群","Держится на определённом расстоянии, преследуя игрока, бросается на любого игрока в радиусе и выпускает группу пуль в форме кленового листа, состоящую из шести снарядов.","Utrzymuje pewien dystans podczas pościgu za graczem, doskakuje do dowolnego gracza w zasięgu i wystrzeliwuje grupę pocisków w kształcie liścia klonu, składającą się z sześciu kul.","Mantiene cierta distancia mientras persigue al jugador, se abalanza sobre cualquier jugador dentro del alcance y dispara un grupo de balas en forma de hoja de arce compuesto por seis proyectiles.","Mantém certa distância enquanto persegue o jogador, avança sobre qualquer jogador no alcance e dispara um aglomerado de projéteis em forma de folha de bordo composto por seis disparos.","Hält beim Verfolgen des Spielers einen gewissen Abstand, stürmt auf jeden Spieler in Reichweite zu und feuert ein ahornblattförmiges Geschossbündel aus sechs Kugeln ab.","Oyuncuyu kovalarken belirli bir mesafeyi korur, menzildeki herhangi bir oyuncuya atılır ve altı mermiden oluşan akçaağaç yaprağı şeklinde bir mermi kümesi ateşler.","Mantiene una certa distanza mentre insegue il giocatore, scatta verso qualsiasi giocatore nel raggio d'azione e spara un gruppo di proiettili a forma di foglia d'acero composto da sei colpi."
FANTASY_VINE_STRANGER_NAME,Vine Stranger,Étrangleur de lianes,藤蔓怪人,ヴァインストレンジャー,덩굴 괴인,藤蔓怪人,Лозный странник,Winny obcy,Enredadera extraña,Trepadeira estranha,Ranken-Fremder,Sarmaşık Yabancı,Vite strana
FANTASY_VINE_STRANGER_BEHAVIOUR_DESCRIPTION,"Cannot move, will be attacked by lootworm, fires a long stream of bullets at the player.","Ne peut pas se déplacer, sera attaqué par le ver pillard, tire un long flux de balles sur le joueur.","无法移动, 会被搜刮虫虫攻击, 向玩家发射长串子弹","移動できず,ルートワームに攻撃される.プレイヤーに向けて長い弾の連なりを発射する.","이동할 수 없으며, 약탈벌레에게 공격받습니다. 플레이어를 향해 긴 탄환의 흐름을 발사합니다.","無法移動,會被搜刮蟲蟲攻擊,向玩家發射長串子彈","Не может двигаться, будет атакован червем-грабителем, выпускает длинную очередь пуль в игрока.","Nie może się poruszać, zostanie zaatakowany przez łupieżczego robaka, wystrzeliwuje długi strumień pocisków w gracza.","No puede moverse, será atacado por el gusano saqueador, dispara un largo chorro de balas al jugador.","Não pode se mover, será atacado pelo verme saqueador, dispara um longo fluxo de projéteis no jogador.","Kann sich nicht bewegen, wird vom Plünderwurm angegriffen, feuert einen langen Kugelstrom auf den Spieler.","Hareket edemez, yağmacı kurt tarafından saldırıya uğrar, oyuncuya uzun bir mermi akışı ateşler.","Non può muoversi, verrà attaccato dal verme saccheggiatore, spara un lungo flusso di proiettili al giocatore."
FANTASY_LITTLE_ELF_NAME,Little Elf,Petit elfe,小精灵,リトルエルフ,꼬마 요정,小精靈,Маленький эльф,Mały elf,Elfo pequeño,Elfo pequeno,Kleiner Elf,Küçük Elf,Elfo piccolo
FANTASY_LITTLE_ELF_BEHAVIOUR_DESCRIPTION,"Rapidly swings towards the player, flees from the player when too close, and fires 5 bullets consecutively. After firing, it enters a 2-second cooldown period","Se balance rapidement vers le joueur, fuit le joueur quand il est trop près, et tire 5 balles consécutives. Après avoir tiré, il entre dans un temps de recharge de 2 secondes","高速摇摆接近玩家, 太接近时逃离玩家, 并连续发射5个子弹, 发射完毕后进入2秒的冷却期","高速でプレイヤーに接近し,近づきすぎると逃げ出し,5発の弾を連続で発射する.発射後,2秒のクールダウンに入る","플레이어에게 빠르게 접근하며, 너무 가까우면 도망가고, 5발의 탄환을 연속으로 발사합니다. 발사 후 2초의 재사용 대기 시간에 들어갑니다","高速搖擺接近玩家,太接近時逃離玩家,並連續發射5個子彈,發射完畢後進入2秒的冷卻期","Быстро раскачиваясь, приближается к игроку, убегает, когда слишком близко, и выпускает 5 пуль подряд. После стрельбы уходит в перезарядку на 2 секунды","Szybko kołysze się w stronę gracza, ucieka od gracza, gdy jest zbyt blisko, i wystrzeliwuje kolejno 5 pocisków. Po strzale wchodzi w 2-sekundowy okres odnowienia","Se balancea rápidamente hacia el jugador, huye del jugador cuando está demasiado cerca y dispara 5 balas consecutivamente. Después de disparar, entra en un período de enfriamiento de 2 segundos","Balança rapidamente em direção ao jogador, foge do jogador quando muito perto e dispara 5 projéteis consecutivamente. Após atirar, entra em um período de recarga de 2 segundos","Schwingt sich schnell auf den Spieler zu, flieht, wenn er zu nahe ist, und feuert 5 Kugeln hintereinander. Nach dem Schießen folgt eine 2-sekündige Abklingzeit","Oyuncuya doğru hızla sallanarak yaklaşır, çok yaklaştığında kaçar ve art arda 5 mermi ateşler. Ateş ettikten sonra 2 saniyelik bekleme süresine girer","Oscilla rapidamente verso il giocatore, fugge quando è troppo vicino e spara 5 proiettili consecutivamente. Dopo aver sparato, entra in un periodo di ricarica di 2 secondi"
